CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
72288,ACC,211,A,3,Acctg for Non-Bus Major,MW,11:40 am-01:00 pm,Katherine Anne Tew (P),08/28-12/16,LWS 304,Bus Course for Surcharge
72289,ACC,211,B,3,Acctg for Non-Bus Major,MW,01:15 pm-02:35 pm,Katherine Anne Tew (P),08/28-12/16,LWS 304,Bus Course for Surcharge
10101,ACC,221,A,3,Intro To Financial Accounting,MW,08:30 am-09:50 am,Elizabeth Marie Killy (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,09/25-09/25,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,10/23-10/23,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,11/13-11/13,TBA,Bus Course for Surcharge and Thematic Sequence
10111,ACC,221,B,3,Intro To Financial Accounting,MW,10:05 am-11:25 am,Elizabeth Marie Killy (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,09/25-09/25,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,10/23-10/23,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,11/13-11/13,TBA,Bus Course for Surcharge and Thematic Sequence
54072,ACC,221,C,3,Intro To Financial Accounting,MW,11:40 am-01:00 pm,Elizabeth Marie Killy (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,09/25-09/25,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,10/23-10/23,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,11/13-11/13,TBA,Bus Course for Surcharge and Thematic Sequence
55005,ACC,221,D,3,Intro To Financial Accounting,MW,01:15 pm-02:35 pm,Elizabeth Marie Killy (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,09/25-09/25,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,10/23-10/23,TBA,Bus Course for Surcharge and Thematic Sequence
,,,,,,M,07:30 pm-09:30 pm,TBA,11/13-11/13,TBA,Bus Course for Surcharge and Thematic Sequence
10130,ACC,222,A,3,Intro To Managerial Accounting,TR,01:15 pm-02:35 pm,Ronald G. Collins (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Top 25 and Thematic Sequence
10131,ACC,222,B,3,Intro To Managerial Accounting,TR,02:50 pm-04:10 pm,Ronald G. Collins (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Top 25 and Thematic Sequence
65881,ACC,222,C,3,Intro To Managerial Accounting,TR,04:25 pm-05:45 pm,Ronald G. Collins (P),08/28-12/16,FSB 1000,Bus Course for Surcharge and Top 25 and Thematic Sequence
72373,ACC,222H,A,3,Intro To Managerial Accounting,TR,11:40 am-01:00 pm,Ronald G. Collins (P),08/28-12/16,FSB 0031,Bus Course for Surcharge and Honors Course
64308,ACC,256,A,1,Accountancy Career Exploration,F,10:05 am-11:25 am,Brenda S. Homan (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
64309,ACC,256,B,1,Accountancy Career Exploration,F,11:40 am-01:00 pm,Brenda S. Homan (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
66169,ACC,256,D,1,Accountancy Career Exploration,F,01:15 pm-02:35 pm,Brenda S. Homan (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
72060,ACC,321,A,3,Intermed Financial Accounting,MW,01:15 pm-02:35 pm,Timothy Vance Eaton (P),08/28-12/16,FSB 0027,Bus Course for Surcharge and Thematic Sequence
10139,ACC,321,B,3,Intermed Financial Accounting,MW,02:50 pm-04:10 pm,Timothy Vance Eaton (P),08/28-12/16,FSB 0027,Bus Course for Surcharge and Thematic Sequence
10140,ACC,321,C,3,Intermed Financial Accounting,MW,04:25 pm-05:45 pm,Timothy Vance Eaton (P),08/28-12/16,FSB 0027,Bus Course for Surcharge and Thematic Sequence
10141,ACC,321,D,3,Intermed Financial Accounting,TR,08:30 am-09:50 am,Po-Chang Chen (P),08/28-12/16,FSB 0026,Bus Course for Surcharge and Thematic Sequence
,,,,,,T,05:30 pm-08:30 pm,TBA,10/03-10/03,FSB 0025,Bus Course for Surcharge and Thematic Sequence
,,,,,,T,05:30 pm-08:30 pm,TBA,11/07-11/07,FSB 0025,Bus Course for Surcharge and Thematic Sequence
10142,ACC,321,E,3,Intermed Financial Accounting,TR,10:05 am-11:25 am,Po-Chang Chen (P),08/28-12/16,FSB 0026,Bus Course for Surcharge and Thematic Sequence
,,,,,,T,05:30 pm-08:30 pm,TBA,10/03-10/03,FSB 0025,Bus Course for Surcharge and Thematic Sequence
,,,,,,T,05:30 pm-08:30 pm,TBA,11/07-11/07,FSB 0025,Bus Course for Surcharge and Thematic Sequence
66185,ACC,321,F,3,Intermed Financial Accounting,TR,02:50 pm-04:10 pm,TBA,08/28-12/16,FSB 0026,Bus Course for Surcharge and Thematic Sequence
66193,ACC,321,G,3,Intermed Financial Accounting,TR,04:25 pm-05:45 pm,TBA,08/28-12/16,FSB 0026,Bus Course for Surcharge and Thematic Sequence
68149,ACC,321,H,3,Intermed Financial Accounting,TR,01:15 pm-02:35 pm,TBA,08/28-12/16,FSB 0028,Bus Course for Surcharge and Thematic Sequence
10143,ACC,333,A,3,Managerial Accounting,MW,01:15 pm-02:35 pm,Dan L. Heitger (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
54948,ACC,333,B,3,Managerial Accounting,MW,02:50 pm-04:10 pm,Dan L. Heitger (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
10145,ACC,333,C,3,Managerial Accounting,MW,04:25 pm-05:45 pm,Kenneth Walter Miller (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
10146,ACC,333,D,3,Managerial Accounting,TR,11:40 am-01:00 pm,Eric Marinich (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
10147,ACC,333,E,3,Managerial Accounting,TR,01:15 pm-02:35 pm,Eric Marinich (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
69097,ACC,333,F,3,Managerial Accounting,TR,02:50 pm-04:10 pm,Karen Julia L. De Meyst (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
69098,ACC,333,G,3,Managerial Accounting,TR,04:25 pm-05:45 pm,Karen Julia L. De Meyst (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
70926,ACC,340,A,0.000-20.000,Internship,,TBA,Elizabeth Marie Killy (P),08/28-12/16,WEB,Bus Course for Surcharge and Online Course/DistanceLearning
55788,ACC,343,A,3,Federal Income Tax Accounting,MW,02:50 pm-04:10 pm,William J. Moser (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:30 pm,TBA,10/04-10/04,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:30 pm,TBA,11/15-11/15,TBA,Bus Course for Surcharge
55789,ACC,343,B,3,Federal Income Tax Accounting,TR,11:40 am-01:00 pm,Michele Frank (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
69108,ACC,343,C,3,Federal Income Tax Accounting,TR,01:15 pm-02:35 pm,Michele Frank (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
66244,ACC,343,D,3,Federal Income Tax Accounting,WF,08:30 am-09:50 am,Roger D. Ames (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
