CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
82261,ACC,211,A,3,Acctg for Non-Bus Major,TR,11:40 am-01:00 pm,Katherine Anne Tew (P),01/29-05/19,LWS 304,Bus Course for Surcharge
82509,ACC,211,B,3,Acctg for Non-Bus Major,TR,01:15 pm-02:35 pm,Katherine Anne Tew (P),01/29-05/19,LWS 302,Bus Course for Surcharge
72854,ACC,221,A,3,Intro To Financial Accounting,MW,08:30 am-09:50 am,Elizabeth Marie Killy (P),01/29-05/19,FSB 1000,Bus Course for Surcharge and Thematic Sequence
72860,ACC,221,B,3,Intro To Financial Accounting,MW,10:05 am-11:25 am,Elizabeth Marie Killy (P),01/29-05/19,FSB 1000,Bus Course for Surcharge and Thematic Sequence
72866,ACC,221,C,3,Intro To Financial Accounting,MW,11:40 am-01:00 pm,Elizabeth Marie Killy (P),01/29-05/19,FSB 1000,Bus Course for Surcharge and Thematic Sequence
72845,ACC,222,A,3,Intro To Managerial Accounting,TR,01:15 pm-02:35 pm,Eric Marinich (P),01/29-05/19,FSB 1000,Bus Course for Surcharge and Top 25 and Thematic Sequence
72846,ACC,222,B,3,Intro To Managerial Accounting,TR,02:50 pm-04:10 pm,Eric Marinich (P),01/29-05/19,FSB 1000,Bus Course for Surcharge and Top 25 and Thematic Sequence
72847,ACC,222,C,3,Intro To Managerial Accounting,TR,04:25 pm-05:45 pm,Eric Marinich (P),01/29-05/19,FSB 1000,Bus Course for Surcharge and Top 25 and Thematic Sequence
75976,ACC,256,B,1,Accountancy Career Exploration,F,10:05 am-11:25 am,Brenda S. Homan (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
79341,ACC,256,C,1,Accountancy Career Exploration,F,11:40 am-01:00 pm,Brenda S. Homan (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
81803,ACC,256,D,1,Accountancy Career Exploration,F,01:15 pm-02:35 pm,Brenda S. Homan (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
20145,ACC,321,A,3,Intermed Financial Accounting,MW,11:40 am-01:00 pm,Jan Ellen Eighme (P),01/29-05/19,FSB 0027,Bus Course for Surcharge and Thematic Sequence
20146,ACC,321,B,3,Intermed Financial Accounting,MW,01:15 pm-02:35 pm,Jan Ellen Eighme (P),01/29-05/19,FSB 0027,Bus Course for Surcharge and Thematic Sequence
20147,ACC,321,C,3,Intermed Financial Accounting,TR,01:15 pm-02:35 pm,Terence Jude Pitre (P),01/29-05/19,FSB 0026,Bus Course for Surcharge and Thematic Sequence
62107,ACC,321,D,3,Intermed Financial Accounting,TR,02:50 pm-04:10 pm,Terence Jude Pitre (P),01/29-05/19,FSB 0026,Bus Course for Surcharge and Thematic Sequence
72810,ACC,321,E,3,Intermed Financial Accounting,TR,04:25 pm-05:45 pm,Terence Jude Pitre (P),01/29-05/19,FSB 0026,Bus Course for Surcharge and Thematic Sequence
20149,ACC,333,A,3,Managerial Accounting,TR,10:05 am-11:25 am,Karen Julia L. De Meyst (P),01/29-05/19,FSB 0026,Bus Course for Surcharge
20150,ACC,333,B,3,Managerial Accounting,TR,11:40 am-01:00 pm,Karen Julia L. De Meyst (P),01/29-05/19,FSB 0026,Bus Course for Surcharge
20152,ACC,333,C,3,Managerial Accounting,TR,11:40 am-01:00 pm,Kenneth Walter Miller (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
71428,ACC,333,D,3,Managerial Accounting,TR,01:15 pm-02:35 pm,Kenneth Walter Miller (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
79346,ACC,333,E,3,Managerial Accounting,TR,11:40 am-01:00 pm,Anne Magner Farrell (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
79347,ACC,333,F,3,Managerial Accounting,TR,01:15 pm-02:35 pm,Anne Magner Farrell (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
79348,ACC,333,G,3,Managerial Accounting,TR,02:50 pm-04:10 pm,Anne Magner Farrell (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
68307,ACC,343,A,3,Federal Income Tax Accounting,MW,04:25 pm-05:45 pm,William J. Moser (P),01/29-05/19,FSB 0026,Bus Course for Surcharge
68310,ACC,343,B,3,Federal Income Tax Accounting,TR,08:30 am-09:50 am,Roger D. Ames (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
68309,ACC,343,C,3,Federal Income Tax Accounting,WF,10:05 am-11:25 am,Roger D. Ames (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
70024,ACC,343,D,3,Federal Income Tax Accounting,WF,08:30 am-09:50 am,Roger D. Ames (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
25595,ACC,361,A,3,Modeling Bus Proc in AIS,MW,01:15 pm-02:35 pm,Michael Dale Stoel (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
25597,ACC,361,B,3,Modeling Bus Proc in AIS,MW,02:50 pm-04:10 pm,Jan Ellen Eighme (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
75996,ACC,361,C,3,Modeling Bus Proc in AIS,MW,04:25 pm-05:45 pm,Jan Ellen Eighme (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
68312,ACC,422,A,3,Financial Accounting Research,TR,08:30 am-09:50 am,Qing Liao Burke (P),01/29-05/19,FSB 0026,Bus Course for Surcharge and Thematic Sequence
25601,ACC,422,B,3,Financial Accounting Research,TR,10:05 am-11:25 am,Qing Liao Burke (P),01/29-05/19,FSB 0027,Bus Course for Surcharge and Thematic Sequence
66492,ACC,445,A,3,Corp. Partnrshp&Taxation,MW,02:50 pm-04:10 pm,William J. Moser (P),01/29-05/19,FSB 0026,Bus Course for Surcharge
74801,ACC,452,A,3,Internal Auditing,TR,04:25 pm-05:45 pm,James Daniel Krause (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
20161,ACC,453,A,3,Financial Statement Auditing,MW,08:30 am-09:50 am,Brian John Ballou (P),01/29-05/19,FSB 0026,Bus Course for Surcharge
20162,ACC,453,B,3,Financial Statement Auditing,MW,10:05 am-11:25 am,Brian John Ballou (P),01/29-05/19,FSB 0026,Bus Course for Surcharge
66493,ACC,453,C,3,Financial Statement Auditing,TR,02:50 pm-04:10 pm,Jonathan Stanley Pyzoha (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
78187,ACC,453,D,3,Financial Statement Auditing,TR,04:25 pm-05:45 pm,Jonathan Stanley Pyzoha (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
83197,ACC,495,A,3,Accounting Analysis,MW,02:50 pm-04:10 pm,Michael Dale Stoel (P),01/29-05/19,FSB 0028,Bus Course for Surcharge and Senior Capstone
83182,ACC,522,A,3,Financial Accounting Research,MW,04:25 pm-05:45 pm,Timothy Vance Eaton (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
81837,ACC,522,C,3,Financial Accounting Research,MW,02:50 pm-04:10 pm,Timothy Vance Eaton (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
72820,ACC,622,A,3,Info Business Valuation Decn,TR,08:30 am-09:50 am,Matthew Michael Wieland (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
83198,ACC,622,B,3,Info Business Valuation Decn,TR,10:05 am-11:25 am,Matthew Michael Wieland (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
80278,ACC,628,A,3,Advanced Financial Accounting,TR,08:30 am-09:50 am,Po-Chang Chen (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
83183,ACC,628,B,3,Advanced Financial Accounting,TR,10:05 am-11:25 am,Po-Chang Chen (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
71418,ACC,650,A,3,Fraud Examination,MW,11:40 am-01:00 pm,Jonathan Hallberg Grenier (P),01/29-05/19,FSB 0020,Bus Course for Surcharge
84048,ACC,650,B,3,Fraud Examination,MW,01:15 pm-02:35 pm,Jonathan Hallberg Grenier (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
79351,ACC,653,A,3,Assurance Services,TR,11:40 am-01:00 pm,Andrew B. Reffett (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
20173,ACC,695,A,3,Integrative Acc Capstone,MW,10:05 am-11:25 am,Dan L. Heitger (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
83184,ACC,695,B,3,Integrative Acc Capstone,MW,11:40 am-01:00 pm,Dan L. Heitger (P),01/29-05/19,FSB 0028,Bus Course for Surcharge and Senior Capstone
,,,,,,,,,,,
20180,AES,111,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20181,AES,122,A,1,Fndtns of the U.S. Air Force,T,02:50 pm-03:45 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
