CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
10101,ACC,221,A,O,3,Intro To Financial Accounting,MW,08:30 am-09:50 am,Elizabeth Marie Killy (P),08/29-12/10,FSB 1000
,,,,,,,M,07:30 pm-09:30 pm,TBA,09/26-09/26,FSB 1000
,,,,,,,M,07:30 pm-09:30 pm,TBA,10/24-10/24,FSB 1000
,,,,,,,M,07:30 pm-09:30 pm,TBA,11/14-11/14,FSB 1000
,,,,,,,M,08:00 am-10:00 am,Elizabeth Marie Killy,12/12-12/12,FSB 1000
10111,ACC,221,B,O,3,Intro To Financial Accounting,MW,10:00 am-11:20 am,Elizabeth Marie Killy (P),08/29-12/10,FSB 1000
,,,,,,,M,07:30 pm-09:30 pm,TBA,09/26-09/26,FSB 0025
,,,,,,,M,07:30 pm-09:30 pm,TBA,10/24-10/24,FSB 0025
,,,,,,,M,07:30 pm-09:30 pm,TBA,11/14-11/14,FSB 0025
,,,,,,,M,08:00 am-10:00 am,Elizabeth Marie Killy,12/12-12/12,FSB 0025
54072,ACC,221,C,O,3,Intro To Financial Accounting,MW,11:30 am-12:50 pm,Elizabeth Marie Killy (P),08/29-12/10,FSB 1000
,,,,,,,M,07:30 pm-09:30 pm,TBA,09/26-09/26,LWS 100
,,,,,,,M,07:30 pm-09:30 pm,TBA,10/24-10/24,LWS 100
,,,,,,,M,07:30 pm-09:30 pm,TBA,11/14-11/14,LWS 100
,,,,,,,M,08:00 am-10:00 am,Elizabeth Marie Killy,12/12-12/12,LWS 100
55005,ACC,221,D,O,3,Intro To Financial Accounting,MW,01:00 pm-02:20 pm,Elizabeth Marie Killy (P),08/29-12/10,FSB 1000
,,,,,,,M,07:30 pm-09:30 pm,TBA,09/26-09/26,HUG 100
,,,,,,,M,07:30 pm-09:30 pm,TBA,10/24-10/24,HUG 100
,,,,,,,M,07:30 pm-09:30 pm,TBA,11/14-11/14,HUG 100
,,,,,,,M,08:00 am-10:00 am,Elizabeth Marie Killy,12/12-12/12,PSN 128
,,,,,,,M,08:00 am-10:00 am,TBA,12/12-12/12,HUG 100
10130,ACC,222,A,O,3,Intro To Managerial Accounting,TR,01:00 pm-02:20 pm,Ronald G. Collins (P),08/29-12/10,FSB 1000
,,,,,,,T,07:30 pm-09:30 pm,TBA,09/20-09/20,FSB 1000
,,,,,,,T,07:30 pm-09:30 pm,TBA,10/18-10/18,FSB 1000
,,,,,,,T,07:30 pm-09:30 pm,TBA,11/15-11/15,FSB 1000
,,,,,,,M,08:00 am-10:00 am,Ronald G. Collins,12/12-12/12,HUG 100
10131,ACC,222,B,O,3,Intro To Managerial Accounting,TR,02:30 pm-03:50 pm,Ronald G. Collins (P),08/29-12/10,FSB 1000
,,,,,,,T,07:30 pm-09:30 pm,TBA,09/20-09/20,FSB 0025
,,,,,,,T,07:30 pm-09:30 pm,TBA,10/18-10/18,FSB 0025
,,,,,,,T,07:30 pm-09:30 pm,TBA,11/15-11/15,FSB 0025
,,,,,,,M,08:00 am-10:00 am,Ronald G. Collins,12/12-12/12,PSN 128
65881,ACC,222,C,O,3,Intro To Managerial Accounting,TR,04:00 pm-05:20 pm,Ronald G. Collins (P),08/29-12/10,FSB 1000
,,,,,,,T,07:30 pm-09:30 pm,TBA,09/20-09/20,BEN 102
,,,,,,,T,07:30 pm-09:30 pm,TBA,10/18-10/18,BEN 102
,,,,,,,T,07:30 pm-09:30 pm,TBA,11/15-11/15,BEN 102
,,,,,,,M,08:00 am-10:00 am,Ronald G. Collins,12/12-12/12,BEN 102
64316,ACC,222C,A,O,3,Intro To Managerial Accounting,TR,11:30 am-12:50 pm,Ronald G. Collins (P),08/29-12/10,FSB 0020
,,,,,,,R,12:45 pm-02:45 pm,Ronald G. Collins,12/15-12/15,FSB 0020
64308,ACC,256,A,O,1,Accountancy Career Exploration,F,10:00 am-11:20 am,Brenda S. Homan (P),08/29-12/10,FSB 0020
64309,ACC,256,B,O,1,Accountancy Career Exploration,F,11:30 am-12:50 pm,Brenda S. Homan (P),08/29-12/10,FSB 0020
66169,ACC,256,D,O,1,Accountancy Career Exploration,F,01:00 pm-02:20 pm,Brenda S. Homan (P),08/29-12/10,FSB 0020
10139,ACC,321,B,O,3,Intermed Financial Accounting,WF,08:30 am-09:50 am,Andrew B. Reffett (P),08/29-12/10,FSB 0026
,,,,,,,M,08:00 am-10:00 am,Andrew B. Reffett,12/12-12/12,ART 100
10140,ACC,321,C,O,3,Intermed Financial Accounting,WF,10:00 am-11:20 am,Andrew B. Reffett (P),08/29-12/10,FSB 0026
,,,,,,,M,08:00 am-10:00 am,Andrew B. Reffett,12/12-12/12,ART 100
10141,ACC,321,D,O,3,Intermed Financial Accounting,WF,11:30 am-12:50 pm,Andrew B. Reffett (P),08/29-12/10,FSB 0026
,,,,,,,M,08:00 am-10:00 am,Andrew B. Reffett,12/12-12/12,ART 100
10142,ACC,321,E,O,3,Intermed Financial Accounting,MW,02:30 pm-03:50 pm,Matthew Michael Wieland (P),08/29-12/10,FSB 0026
,,,,,,,W,06:30 pm-08:30 pm,TBA,11/09-11/09,UPH 100
,,,,,,,M,08:00 am-10:00 am,Matthew Michael Wieland,12/12-12/12,HRN 204
66185,ACC,321,F,O,3,Intermed Financial Accounting,MW,04:00 pm-05:20 pm,Matthew Michael Wieland (P),08/29-12/10,FSB 0026
,,,,,,,W,06:30 pm-08:30 pm,TBA,11/09-11/09,UPH 100
,,,,,,,M,08:00 am-10:00 am,Matthew Michael Wieland,12/12-12/12,HRN 204
66193,ACC,321,G,O,3,Intermed Financial Accounting,TR,08:30 am-09:50 am,Po-Chang Chen (P),08/29-12/10,FSB 0026
,,,,,,,M,08:00 am-10:00 am,Po-Chang Chen,12/12-12/12,HRN 304
68149,ACC,321,H,O,3,Intermed Financial Accounting,TR,10:00 am-11:20 am,Po-Chang Chen (P),08/29-12/10,FSB 0026
,,,,,,,M,08:00 am-10:00 am,Po-Chang Chen,12/12-12/12,HRN 304
10143,ACC,333,A,O,3,Managerial Accounting,MW,11:30 am-12:50 pm,Dan L. Heitger (P),08/29-12/10,FSB 0028
,,,,,,,R,10:15 am-12:15 pm,Dan L. Heitger,12/15-12/15,ART 100
54948,ACC,333,B,O,3,Managerial Accounting,MW,01:00 pm-02:20 pm,Dan L. Heitger (P),08/29-12/10,FSB 0028
,,,,,,,R,10:15 am-12:15 pm,Dan L. Heitger,12/15-12/15,ART 100
10145,ACC,333,C,O,3,Managerial Accounting,MW,02:30 pm-03:50 pm,Dan L. Heitger (P),08/29-12/10,FSB 0028
,,,,,,,R,10:15 am-12:15 pm,Dan L. Heitger,12/15-12/15,ART 100
10146,ACC,333,D,O,3,Managerial Accounting,MW,04:00 pm-05:20 pm,Kenneth Walter Miller (P),08/29-12/10,FSB 0028
,,,,,,,R,10:15 am-12:15 pm,Kenneth Walter Miller,12/15-12/15,FSB 0028
10147,ACC,333,E,O,3,Managerial Accounting,TR,11:30 am-12:50 pm,Eric Marinich (P),08/29-12/10,FSB 0027
,,,,,,,R,10:15 am-12:15 pm,Eric Marinich,12/15-12/15,PSN 116
69097,ACC,333,F,O,3,Managerial Accounting,TR,01:00 pm-02:20 pm,Eric Marinich (P),08/29-12/10,FSB 0027
,,,,,,,R,10:15 am-12:15 pm,Eric Marinich,12/15-12/15,PSN 116
69098,ACC,333,G,O,3,Managerial Accounting,TR,10:00 am-11:20 am,Anne Magner Farrell (P),08/29-12/10,FSB 0028
,,,,,,,R,10:15 am-12:15 pm,Anne Magner Farrell,12/15-12/15,PSN 112
66229,ACC,333,H,O,3,Managerial Accounting,TR,11:30 am-12:50 pm,Anne Magner Farrell (P),08/29-12/10,FSB 0028
,,,,,,,R,10:15 am-12:15 pm,Anne Magner Farrell,12/15-12/15,PSN 112
70926,ACC,340,A,O,0.000-20.000,Internship,,TBA,Elizabeth Marie Killy (P),08/29-12/17,TBA
55788,ACC,343,A,O,3,Federal Income Tax Accounting,WF,08:30 am-09:50 am,Roger D. Ames (P),08/29-12/10,FSB 0027
,,,,,,,W,06:30 pm-08:30 pm,TBA,10/05-10/05,FSB 0025
,,,,,,,W,06:30 pm-08:30 pm,TBA,11/09-11/09,FSB 0025
,,,,,,,R,05:30 pm-07:30 pm,Roger D. Ames,12/15-12/15,KRG 319
55789,ACC,343,B,O,3,Federal Income Tax Accounting,WF,11:30 am-12:50 pm,Roger D. Ames (P),08/29-12/10,FSB 0027
,,,,,,,W,06:30 pm-08:30 pm,TBA,10/05-10/05,FSB 0025
,,,,,,,W,06:30 pm-08:30 pm,TBA,11/09-11/09,FSB 0025
,,,,,,,R,05:30 pm-07:30 pm,Roger D. Ames,12/15-12/15,KRG 319
69108,ACC,343,C,O,3,Federal Income Tax Accounting,TR,08:30 am-09:50 am,Roger D. Ames (P),08/29-12/10,FSB 0027
,,,,,,,W,06:30 pm-08:30 pm,TBA,10/05-10/05,FSB 0025
,,,,,,,W,06:30 pm-08:30 pm,TBA,11/09-11/09,FSB 0025
,,,,,,,R,05:30 pm-07:30 pm,Roger D. Ames,12/15-12/15,KRG 319
66244,ACC,343,D,O,3,Federal Income Tax Accounting,TR,11:30 am-12:50 pm,Michele Frank (P),08/29-12/10,FSB 0026
,,,,,,,R,05:30 pm-07:30 pm,Michele Frank,12/15-12/15,HRN 111
61312,ACC,343,E,O,3,Federal Income Tax Accounting,TR,01:00 pm-02:20 pm,Michele Frank (P),08/29-12/10,FSB 0026
,,,,,,,R,05:30 pm-07:30 pm,Michele Frank,12/15-12/15,HRN 111
69111,ACC,343,F,O,3,Federal Income Tax Accounting,TR,10:00 am-11:20 am,William Douglas Brink (P),08/29-12/10,FSB 0031
,,,,,,,W,06:00 pm-08:30 pm,TBA,10/05-10/05,PSYC 125
,,,,,,,W,06:00 pm-08:30 pm,TBA,11/09-11/09,PSYC 125
,,,,,,,R,05:30 pm-07:30 pm,William Douglas Brink,12/15-12/15,FSB 0031
15200,ACC,361,A,O,3,Modeling Bus Proc in AIS,TR,01:00 pm-02:20 pm,Jan Ellen Eighme (P),08/29-12/10,FSB 0028
,,,,,,,T,12:45 pm-02:45 pm,Jan Ellen Eighme,12/13-12/13,FSB 0028
13962,ACC,361,B,O,3,Modeling Bus Proc in AIS,TR,02:30 pm-03:50 pm,Jan Ellen Eighme (P),08/29-12/10,FSB 0028
,,,,,,,R,03:00 pm-05:00 pm,Jan Ellen Eighme,12/15-12/15,FSB 0028
18498,ACC,361,C,O,3,Modeling Bus Proc in AIS,TR,04:00 pm-05:20 pm,Jan Ellen Eighme (P),08/29-12/10,FSB 0028
,,,,,,,T,03:00 pm-05:00 pm,Jan Ellen Eighme,12/13-12/13,FSB 0028
70755,ACC,370,B,O,1,Applied Accounting Research,,TBA,Timothy Vance Eaton (P),08/29-12/10,TBA
10148,ACC,422,A,O,3,Financial Accounting Research,MW,01:00 pm-02:20 pm,Timothy Vance Eaton (P),08/29-12/10,FSB 0027
,,,,,,,M,08:00 am-10:00 am,Timothy Vance Eaton,12/12-12/12,PSYC 125
10149,ACC,422,B,O,3,Financial Accounting Research,MW,02:30 pm-03:50 pm,Timothy Vance Eaton (P),08/29-12/10,FSB 0027
,,,,,,,M,08:00 am-10:00 am,Timothy Vance Eaton,12/12-12/12,PSYC 125
61313,ACC,422,E,O,3,Financial Accounting Research,MW,10:00 am-11:20 am,Marc A. Rubin (P),08/29-12/10,FSB 0027
,,,,,,,M,08:00 am-10:00 am,Marc A. Rubin,12/12-12/12,FSB 0026
66323,ACC,422,F,O,3,Financial Accounting Research,TR,10:00 am-11:20 am,Jan Ellen Eighme (P),08/29-12/10,FSB 0027
,,,,,,,M,08:00 am-10:00 am,Jan Ellen Eighme,12/12-12/12,FSB 0027
66271,ACC,452,B,O,3,Internal Auditing,TR,04:00 pm-05:20 pm,James Daniel Krause (P),08/29-12/10,FSB 0020
,,,,,,,T,03:00 pm-05:00 pm,James Daniel Krause,12/13-12/13,FSB 0020
10152,ACC,453,A,O,3,Financial Statement Auditing,WF,08:30 am-09:50 am,Jonathan Stanley Pyzoha (P),08/29-12/10,FSB 0028
,,,,,,,W,06:30 pm-07:50 pm,TBA,09/28-09/28,FSB 0028
,,,,,,,W,06:30 pm-07:50 pm,TBA,11/02-11/02,FSB 0028
,,,,,,,F,08:00 am-10:00 am,Jonathan Stanley Pyzoha,12/16-12/16,FSB 0028
10153,ACC,453,B,O,3,Financial Statement Auditing,WF,10:00 am-11:20 am,Jonathan Stanley Pyzoha (P),08/29-12/10,FSB 0028
,,,,,,,W,06:30 pm-07:50 pm,TBA,09/28-09/28,FSB 0028
,,,,,,,W,06:30 pm-07:50 pm,TBA,11/02-11/02,FSB 0028
,,,,,,,W,10:15 am-12:15 pm,Jonathan Stanley Pyzoha,12/14-12/14,FSB 0028
68055,ACC,453,E,O,3,Financial Statement Auditing,MW,01:00 pm-02:20 pm,Jonathan Hallberg Grenier (P),08/29-12/10,FSB 0031
,,,,,,,M,12:45 pm-02:45 pm,Jonathan Hallberg Grenier,12/12-12/12,FSB 0031
68057,ACC,468,A,O,3,Government and NFP Accounting,TR,02:30 pm-03:50 pm,Dara Marie Marshall (P),08/29-12/10,FSB 0026
,,,,,,,R,03:00 pm-05:00 pm,Dara Marie Marshall,12/15-12/15,FSB 0026
68058,ACC,468,B,O,3,Government and NFP Accounting,TR,04:00 pm-05:20 pm,Dara Marie Marshall (P),08/29-12/10,FSB 0026
,,,,,,,T,03:00 pm-05:00 pm,Dara Marie Marshall,12/13-12/13,FSB 0026
69126,ACC,490,A,O,3,Current Topics in Accounting,MW,01:00 pm-02:20 pm,Michael Dale Stoel (P),08/29-12/10,FSB 0026
,,,,,,,M,12:45 pm-02:45 pm,Michael Dale Stoel,12/12-12/12,FSB 0026
