CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
82261,ACC,211,A,3,Acctg for Non-Bus Major,MW,02:30 pm-03:50 pm,Katherine Anne Tew (P),01/23-05/13,FSB 0027
82509,ACC,211,B,3,Acctg for Non-Bus Major,MW,01:00 pm-02:20 pm,Katherine Anne Tew (P),01/23-05/13,FSB 0027
72854,ACC,221,A,3,Intro To Financial Accounting,MW,08:30 am-09:50 am,Elizabeth Marie Killy (P),01/23-05/13,FSB 1000
,,,,,,M,07:30 pm-09:30 pm,TBA,02/20-02/20,FSB 1000
,,,,,,M,07:30 pm-09:30 pm,TBA,03/13-03/13,FSB 1000
,,,,,,M,07:30 pm-09:30 pm,TBA,04/17-04/17,FSB 1000
72860,ACC,221,B,3,Intro To Financial Accounting,MW,10:00 am-11:20 am,Elizabeth Marie Killy (P),01/23-05/13,FSB 1000
,,,,,,M,07:30 pm-09:30 pm,TBA,02/20-02/20,FSB 0025
,,,,,,M,07:30 pm-09:30 pm,TBA,03/13-03/13,FSB 0025
,,,,,,M,07:30 pm-09:30 pm,TBA,04/17-04/17,FSB 0025
72866,ACC,221,C,3,Intro To Financial Accounting,MW,11:30 am-12:50 pm,Elizabeth Marie Killy (P),01/23-05/13,FSB 1000
,,,,,,M,07:30 pm-09:30 pm,TBA,02/20-02/20,BEN 102
,,,,,,M,07:30 pm-09:30 pm,TBA,03/13-03/13,BEN 102
,,,,,,M,07:30 pm-09:30 pm,TBA,04/17-04/17,BEN 102
72845,ACC,222,A,3,Intro To Managerial Accounting,TR,01:00 pm-02:20 pm,Ronald G. Collins (P),01/23-05/13,FSB 1000
,,,,,,T,07:30 pm-09:30 pm,TBA,02/14-02/14,FSB 1000
,,,,,,T,07:30 pm-09:30 pm,TBA,03/14-03/14,FSB 1000
,,,,,,T,07:30 pm-09:30 pm,TBA,04/18-04/18,FSB 1000
72846,ACC,222,B,3,Intro To Managerial Accounting,TR,02:30 pm-03:50 pm,Ronald G. Collins (P),01/23-05/13,FSB 1000
,,,,,,T,07:30 pm-09:30 pm,TBA,02/14-02/14,LWS 100
,,,,,,T,07:30 pm-09:30 pm,TBA,03/14-03/14,LWS 100
,,,,,,T,07:30 pm-09:30 pm,TBA,04/18-04/18,LWS 100
72847,ACC,222,C,3,Intro To Managerial Accounting,TR,04:00 pm-05:20 pm,Ronald G. Collins (P),01/23-05/13,FSB 1000
,,,,,,T,07:30 pm-09:30 pm,TBA,02/14-02/14,PSN 128
,,,,,,T,07:30 pm-09:30 pm,TBA,03/14-03/14,PSN 128
,,,,,,T,07:30 pm-09:30 pm,TBA,04/18-04/18,PSN 128
75976,ACC,256,B,1,Accountancy Career Exploration,F,10:00 am-11:20 am,Brenda S. Homan (P),01/23-05/13,FSB 0020
79341,ACC,256,C,1,Accountancy Career Exploration,F,11:30 am-12:50 pm,Brenda S. Homan (P),01/23-05/13,FSB 0020
81803,ACC,256,D,1,Accountancy Career Exploration,F,01:00 pm-02:20 pm,Brenda S. Homan (P),01/23-05/13,FSB 0020
20145,ACC,321,A,3,Intermed Financial Accounting,MW,08:30 am-09:50 am,William Douglas Brink (P),01/23-05/13,FSB 0028
,,,,,,W,06:00 pm-07:20 pm,TBA,02/15-02/15,UPH 001
,,,,,,W,06:00 pm-07:20 pm,TBA,03/08-03/08,UPH 001
,,,,,,W,06:00 pm-07:20 pm,TBA,04/12-04/12,UPH 001
20146,ACC,321,B,3,Intermed Financial Accounting,MW,10:00 am-11:20 am,William Douglas Brink (P),01/23-05/13,FSB 0028
,,,,,,W,06:00 pm-07:20 pm,TBA,02/15-02/15,UPH 001
,,,,,,W,06:00 pm-07:20 pm,TBA,03/08-03/08,UPH 001
,,,,,,W,06:00 pm-07:20 pm,TBA,04/12-04/12,UPH 001
