CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40604,ACC,221,A,3,Intro To Financial Accounting,,TBA,Elizabeth Marie Killy (P),01/02-01/21,WEB
40749,ACC,221,B,3,Intro To Financial Accounting,,TBA,Elizabeth Marie Killy (P),01/02-01/21,WEB
40182,ACC,222,A,3,Intro To Managerial Accounting,,TBA,Katherine Anne Tew (P),01/02-01/21,WEB
40742,ACC,222,B,3,Intro To Managerial Accounting,,TBA,Katherine Anne Tew (P),01/02-01/21,WEB
40183,ACC,333,A,3,Managerial Accounting,MTWR,08:30 am-12:15 pm,Dan L. Heitger (P),01/02-01/21,FSB 0021
40857,ACC,343,A,3,Federal Income Tax Accounting,MTWRF,01:00 pm-04:00 pm,William Douglas Brink (P),01/02-01/21,FSB 0039
40631,ACC,361,A,3,Modeling Bus Proc in AIS,MTWR,08:30 am-12:15 pm,Michael Dale Stoel (P),01/02-01/21,FSB 0028
40185,ACC,453,A,3,Financial Statement Auditing,MTWR,08:30 am-12:15 pm,Andrew B. Reffett (P),01/02-01/21,FSB 0039
40186,ACC,468,A,3,Government and NFP Accounting,MTWR,01:00 pm-04:45 pm,Jan Ellen Eighme (P),01/02-01/21,FSB 0027
40605,ACC,490A,A,3,Fraud Examination,MTWR,01:00 pm-04:45 pm,Jonathan Hallberg Grenier (P),01/02-01/21,FSB 1035
,,,,,,F,01:00 pm-04:45 pm,TBA,01/20-01/20,FSB 1035
40603,ACC,490B,A,3,Strategy-Based Consulting,MTWR,08:30 am-12:15 pm,Brian John Ballou (P),01/02-01/21,FSB 2041
40939,ACC,490D,A,3,Accounting and Tax Policy,,TBA,Marc A. Rubin (P),01/02-01/20,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41270,AMS,205,A,3,Intro to American Cultures,MTWRF,10:00 am-12:00 pm,Carolyn Frances Richter Hardin (P),01/04-01/20,WIH 160
,,,,,,MTWRF,12:30 pm-01:55 pm,TBA,01/04-01/20,WIH 160
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40906,ATH,145,A,3,Lost Cities/Ancient Civs,,TBA,Jeb Joseph Card (P),01/02-01/21,WEB
40574,ATH,175,A,3,Peoples Of The World,,TBA,Yang Jiao (P),01/02-01/21,WEB
41043,ATH,491,A,1.000-4.000,Anthropology Practicum,,TBA,Perry L. Gnivecki (P),01/02-01/21,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40546,ARC,107,A,3,Global Design,MTWR,01:00 pm-05:40 pm,Diane Fellows (P),01/04-01/19,ALU 201
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40620,ART,187,A,3,Hst Of West Art/Prehis-Gothic,TBA,,TBA,01/02-01/21,TBA
40618,ART,188,A,3,Hst Of West Art/Renais-Modern,TR,09:00 am-12:00 pm,Lauren C. Tate (P),01/02-01/21,ART 136
40883,ART,233,A,3,Global Perspectives on Dress,F,12:00 pm-03:00 pm,Trina Gannon (P),01/02-01/21,ART 136
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40402,BIO,121,A,3,Environmental Biology,MTWRF,10:00 am-01:10 pm,Nancy Gail Solomon (P),01/02-01/17,PSN 103
41114,BIO,121,B,3,Environmental Biology,,TBA,Lisa Annette McWilliams-Ortman (P),01/02-01/21,WEB
40885,BIO,131,A,3,Plants Humanity & Environment,TWRF,09:20 am-12:30 pm,Chun Liang (P),01/02-01/21,PSN 320
